Book#,title,short_description,page
1,"""Commy""",The Life Story of Charles A. Comiskey,249
2,"""Dirty Northern B*st*rds!"" And Other Tales From The Terraces",The Story of Britain&#39;s Football Chants,257
3,"""Dirty Northern B*st*rds!"" And Other Tales From The Terraces",The Story of Britain's Football Chants,224
4,"""Double Duty"" Radcliffe: 36 Years of PItching & Catching In the Negro Leagues",,309
5,"""Ee-Yah""","The Life and Times of Hughie Jennings, Baseball Hall of Famer",233
6,"""Had 'Em All the Way""",The 1960 Pittsburgh Pirates,240
7,"""I Remember Bo. . .""",Memories of Michigan's Legendary Coach,192
8,"""If the Poms Bat First, Tell the Taxi to Wait"" and Other Funny Cricket Quotes",,128
9,"""Lady in the Locker Room"": Adventures of a Trailblazing Sports Journalist",,364
10,"""May the Best Man Win""","Sport, Masculinity, and Nationalism in Great Britain and the Empire, 1880-1935",190
11,"""My Name Is Ramona...""",,38
12,"""Our Bums""","The Brooklyn Dodgers in History, Memory and Popular Culture",240
13,"""Play It Where It Lies!""",How to Win at the Game of Life with the Rules of Golf,135
14,"""Swish"" Nicholson",A Biography of Wartime Baseball's Leading Slugger,273
15,"""Tearin' Up the Pea Patch""","The Brooklyn Dodgers, 1953",224
16,"""That Was Part of Baseball Then""","Interviews with 24 Former Major League Baseball Players, Coaches and Managers",234
17,"""The Father of Baseball""",A Biography of Henry Chadwick,269
18,"""The Greatest Game Ever Played in Dixie""","The Nashville Vols, Their 1908 Season, and the Championship Game",293
19,"""The Voyage of the F.H. Moore"" and Other 19th Century Whaling Accounts",,215
20,"""Then Ara Said to Joe. . .""",Best Sports Stories Ever Told - The Best Notre Dame Football Stories Ever Told,192
21,"""Then Bavaro Said to Simms. . .""",Best Sports Stories Ever Told - The Best New York Giants Stories Ever Told,256
22,"""Then Belichick Said to Brady. . .""",Best Sports Stories Ever Told - The Best New England Patriots Stories Ever Told,256
23,"""Then Bowa Said to Schmidt. . .""",The Greatest Phillies Stories Ever Told,224
24,"""Then Bud Said to Barry, Who Told Bob ...""",Best Sports Stories Ever Told - The Best Oklahoma Sooners Stories Ever Told,304
25,"""Then Ditka Said to Payton. . .""",Best Sports Stories Ever Told - The Best Chicago Bears Stories Ever Told,192
26,"""Then Gibbs Said to Riggins. . .""",Best Sports Stories Ever Told - The Best Washington Redskins Stories Ever Told,256
27,"""Then Junior Said to Jeff. . .""",The Greatest NASCAR Stories Ever Told,256
28,"""Then Landry Said to Staubach. . .""",Best Sports Stories Ever Told - The Best Dallas Cowboys Stories Ever Told,192
29,"""Then Levy Said to Kelly. . .""",Best Sports Stories Ever Told - The Best Buffalo Bills Stories Ever Told,240
30,"""Then Madden Said to Summerall. . .""",Best Sports Stories Ever Told - The Best NFL Stories Ever Told,256
31,"""Then Morton Said to Elway. . .""",Best Sports Stories Ever Told - The Best Denver Broncos Stories Ever Told,224
32,"""Then Osborne Said to Rozier. . .""",Best Sports Stories Ever Told - The Best Nebraska Cornhuskers Stories Ever Told,224
33,"""Then Ozzie Said to Harold. . .""",Best Sports Stories Ever Told - The Best Chicago White Sox Stories Ever Told,239
34,"""Then Perreault Said to Rico. . .""",The Best Buffalo Sabres Stories Ever Told,224
35,"""Then Pinkel Said to Smith. . .""",Best Sports Stories Ever Told - The Best Missouri Tigers Stories Ever Told,272
36,"""Then Roy Said to Mickey. . .""",Best Sports Stories Ever Told - The Best Yankees Stories Ever Told,224
37,"""Then Russell Said to Bird...""",The Greatest Celtics Stories Ever Told,240
38,"""Then Steve Said to Jerry. . .""",Best Sports Stories Ever Told - The Best San Francisco 49ers Stories Ever Told,190
39,"""Then Tony Said to Junior. . .""",The Best NASCAR Stories Ever Told,256
40,"""Then Tress Said to Troy. . .""",Best Sports Stories Ever Told - The Best Ohio State Football Stories Ever Told,192
41,"""Then Vince Said to Herschel. . .""",Best Sports Stories Ever Told - The Best Georgia Bulldog Stories Ever Told,192
42,"""Then Wayne Said to Mario. . .""",The Best Stanley Cup Stories Ever Told,288
43,"""Then Zorn Said to Largent. . .""",Best Sports Stories Ever Told - The Best Seattle Seahawks Stories Ever Told,224
44,"""Who Da Man? The Quintessential Analysis of NBA Draft History 1947-2010""",,492
45,"""Yogi Was Up With a Guy On Third. . .""",Hall of Famers Recall Their Favorite Baseball Games Ever,272
46,#LetsGoBucs,A Summer With the 2012 Pittsburgh Pirates,385
47,$port Gambling 101,,147
48,(possibly) The Best (golf) Vacation Ever,,252
49,(Wett-)kÃ¤mpfen im Sport und im Alltag: Spannungsfelder im Erziehungsprozess â€“ verdeutlicht am Beispiel Judo,,125
50,????It Was Fun'',Some Thoughts for Parents On Youth Sports,71
51,"`Race', Sport and British Society",,253
52,1 Minute Isometrics: Build Strength In 1 Minute,,12
53,1 Step to Better Golf,,131
54,1 Step to Hitting it Long,,21
55,1 Step to Perfect Putting,,18
56,1 Step to Swinging Like Tiger,,46
57,"1,001 Pearls of Golfers' Wisdom","Advice and Knowledge, from Tee to Green",400
58,10 Amazing Olympic Lists,Everything You Need to Know about the Olympics,22
59,10 Common Knots You Should Know,,24
60,10 Count Trivia,Events and Championship,272
61,10 for 66 and All That,,199
62,10 Games Lesson Plans for 5-7 Year Olds,,53
63,10 Gymnastics Lesson Plans for 5-7 Year Olds,,48
64,10 Sports Scandals That Rocked the Game,,0
65,10 SURVIVAL strategies for after your supplies run out out,,15
66,10 Things You Might Not Know About Nearly Everything,"A collection of fascinating historical, scientific and cultural facts about people, places and things",133
67,10 Ways to Start Prepping Today,,31
68,100 000 dollars pour lâ€™Everest,,392
69,100 Essential Triathlon Sessions,The Definitive Training Programme for all Serious Triathletes,160
70,100 GAA Greats,From Christy Ring to Joe Canning,336
71,100 Grey Cups,This Is Our Game,224
72,100 Grey Cups,This Is Our Game,256
73,100 Hut Walks In the Alps,Routes for Day and Multi-Day Walks,256
74,100 Irish Rugby Greats,,272
75,100 Marathons,Memories and Lessons from Races Run around the World,272
76,100 Places You Will Never Visit,The World's Most Secret Locations,0
77,100 Reasons to Run... NOW!,How to Jumpstart Your Run,168
78,100 Secrets the Golf Experts Don't Want You To Know,Learn to Golf Like A PGA Tour Vet (Get To Your Under Par Game!),14
79,100 storie per 100 anni,,160
80,100 Things 49ers Fans Should Know & Do Before They Die,100 Things...Fans Should Know,288
81,100 Things 76ers Fans Should Know & Do Before They Die,100 Things...Fans Should Know,224
82,100 Things A&#39;s Fans Should Know & Do Before They Die,100 Things...Fans Should Know,336
83,100 Things Angels Fans Should Know & Do Before They Die,100 Things...Fans Should Know,272
84,100 Things Arizona Fans Should Know & Do Before They Die,100 Things...Fans Should Know,304
85,100 Things Arkansas Fans Should Know & Do Before They Die,,256
86,100 Things A's Fans Should Know & Do Before They Die,,336
87,100 Things Auburn Fans Should Know & Do Before They Die,100 Things...Fans Should Know,304
88,100 Things Bears Fans Should Know & Do Before They Die,100 Things...Fans Should Know,224
89,100 Things Bears Fans Should Know & Do Before They Die,,256
90,100 Things Bills Fans Should Know & Do Before They Die,100 Things...Fans Should Know,304
91,100 Things Blackhawks Fans Should Know & Do Before They Die,,272
92,100 Things Blue Jays Fans Should Know & Do Before They Die,100 Things...Fans Should Know,272
93,100 Things Blues Fans Should Know & Do Before They Die,,384
94,100 Things Braves Fans Should Know & Do Before They Die,,256
95,100 Things Brewers Fans Should Know & Do Before They Die,,288
96,100 Things Broncos Fans Should Know & Do Before They Die,100 Things...Fans Should Know,336
97,100 Things Buckeyes Fans Should Know & Do Before They Die,,240
98,100 Things Buckeyes Fans Should Know & Do Before They Die,,272
99,100 Things Bulldogs Fans Should Know & Do Before They Die,,272
100,100 Things Bulls Fans Should Know & Do Before They Die,100 Things...Fans Should Know,256
101,100 Things Canadiens Fans Should Know & Do Before They Die,,272
102,100 Things Cardinals Fans Should Know & Do Before They Die,,256
103,100 Things Cardinals Fans Should Know & Do Before They Die,,289
104,100 Things Celtics Fans Should Know & Do Before They Die,100 Things...Fans Should Know,256
105,100 Things Chiefs Fans Should Know & Do Before They Die,100 Things...Fans Should Know,304
106,100 Things Clemson Fans Should Know & Do Before They Die,100 Things...Fans Should Know,352
107,100 Things Colts Fans Should Know & Do Before They Die,,352
108,100 Things Cowboys Fans Should Know & Do Before They Die,100 Things...Fans Should Know,256
109,100 Things Cowboys Fans Should Know & Do Before They Die,,224
110,100 Things Crimson Tide Fans Should Know & Do Before They Die,100 Things...Fans Should Know,304
111,100 Things Cubs Fans Should Know & Do Before They Die,,256
112,100 Things Dodgers Fans Should Know & Do Before They Die,100 Things...Fans Should Know,320
113,100 Things Duke Fans Should Know & Do Before They Die,100 Things...Fans Should Know,0
114,100 Things Eagles Fans Should Know & Do Before They Die,100 Things...Fans Should Know,256
115,100 Things Falcons Fans Should Know & Do Before They Die,100 Things...Fans Should Know,256
116,100 Things Falcons Fans Should Know & Do Before They Die,,257
117,100 Things Florida Fans Should Know & Do Before They Die,100 Things...Fans Should Know,272
118,100 Things Flyers Fans Should Know & Do Before They Die,,320
119,100 Things Giants Fans Should Know & Do Before They Die,100 Things...Fans Should Know,240
120,100 Things Giants Fans Should Know & Do Before They Die,100 Things...Fans Should Know,368
121,100 Things Giants Fans Should Know & Do Before They Die,,256
122,100 Things Hoosiers Fans Should Know & Do Before They Die,,288
123,100 Things Indians Fans Should Know & Do Before They Die,100 Things...Fans Should Know,256
124,100 Things Jets Fans Should Know & Do Before They Die,,320
125,100 Things Jets Fans Should Know & Do Before They Die,,256
126,100 Things Kansas Fans Should Know & Do Before They Die,100 Things...Fans Should Know,304
127,100 Things Knicks Fans Should Know & Do Before They Die,100 Things...Fans Should Know,256
128,100 Things Lakers Fans Should Know & Do Before They Die,100 Things...Fans Should Know,256
129,100 Things Lions Fans Should Know & Do Before They Die,100 Things...Fans Should Know,256
130,100 Things Longhorns Fans Should Know & Do Before They Die,,223
131,100 Things Longhorns Fans Should Know & Do Before They Die,,272
132,100 Things Maple Leafs Fans Should Know & Do Before They Die,,256
133,100 Things Mariners Fans Should Know & Do Before They Die,100 Things...Fans Should Know,320
134,100 Things Mets Fans Should Know & Do Before They Die,,273
135,100 Things Michigan Fans Should Know & Do Before They Die,100 Things...Fans Should Know - Revised and updated edition,272
136,100 Things Michigan State Fans Should Know & Do Before They Die,100 Things...Fans Should Know,352
137,100 Things NASCAR Fans Should Know & Do Before They Die,,256
138,100 Things Nebraska Fans Should Know & Do Before They Die,100 Things...Fans Should Know,288
139,100 Things North Carolina Fans Should Know & Do Before They Die,100 Things...Fans Should Know,0
140,100 Things Notre Dame Fans Should Know & Do Before They Die,,288
141,100 Things Notre Dame Fans Should Know & Do Before They Die,,289
142,100 Things Oklahoma Fans Should Know & Do Before They Die,100 Things...Fans Should Know,256
