title,short_description,page
Game of My Life Virginia Tech Hokies,Memorable Stories of Hokie Football and Basketball,264
Dale Brown's Basketball Coaches Organizational Handbook (2nd Edition),,304
Ya Gotta Believe!,The 40th Anniversary New York Mets Fan Book,250
Canada's Other Game,Basketball from Naismith to Nash,296
"""Double Duty"" Radcliffe: 36 Years of PItching & Catching In the Negro Leagues",,309
Dale Brown??s Handbook of Basketball Fundamentals and Drills,,109
Yankee Century and Beyond,A Celebration of the First Hundred Plus Years of Baseball's Greatest Team,464
Carmelo Anthony,An Unauthorized Biography,70
Damian Lillard Signature Workout Program,,35
Yankee Doodles,"Inside the Locker Room with Mickey, Yogi, Reggie, and Derek",224
Carmelo Anthony HoopHandbook Signature Workout Program,,20
"""Then Ozzie Said to Harold. . .""",Best Sports Stories Ever Told - The Best Chicago White Sox Stories Ever Told,239
Advanced Basketball Defense:,"The World's Most Complete Illustrated Guide For Coaches, Players & Die-Hard Fans",175
Dare to Dream,Connecticut Basketball's Remarkable March to the National Championship,240
Yankee Greats,,224
Carolina Basketball,A Century of Excellence,288
Dean Smith,Loyalty,32
Yankee Miracles: Life with the Boss and the Bronx Bombers,,288
Catch a Star,Shining through Adversity to Become a Champion,0
"""Yogi Was Up With a Guy On Third. . .""",Hall of Famers Recall Their Favorite Baseball Games Ever,272
Al Horford Signature Workout Program,,25
Dean's Domain,The Inside Story of Dean Smith and His College Basketball Empire,240
Yankeeology Trivia Challenge,New York Yankees Baseball,96
CBS Sports Presents Stories From the Final Four,,189
Debating Destiny: Michael Jordan vs. LeBron James,Michael Jordan vs. LeBron James: Who's the Greatest?,60
Yankees by the Numbers,A Complete Team History of the Bronx Bombers by Uniform Number,432
Champions for Change,How the Mississippi State Bulldogs and Their Bold Coach Defied Segregation,128
'78,"The Boston Red Sox, A Historic Game, and a Divided City",320
All-Access: Bellarmine at Duke,Behind the scenes with the D-2 National Champs,13
Deflated Dreams,Basketball and Politics,64
Yankees Century,Voices and Memories of the Pinstripe Past,260
Chaney,Playing for a Legend,224
Deron Williams HoopHandbook Signature Workout Program,,20
Yankees Fans eBook Gift Set,,1
Chasing Perfect,The Will to Win in Basketball and Life,336
100 Things A&#39;s Fans Should Know & Do Before They Die,100 Things...Fans Should Know,336
Allenando si impara,,65
Derrick Rose,"The Injury, Recovery, and Return of a Chicago Bulls Superstar",100
Yankees Triviology,Fascinating Facts from the Bleacher Seats,128
Chicken Soup for the Soul: Inside Basketball,"101 Great Hoop Stories from Players, Coaches, and Fans",400
Derrick Rose HoopHandbook Signature Workout Program,,20
Yankees Yearly,An Annual Look At the New York Yankees,104
Chris Bosh Signature Workout Program,,30
100 Things Blue Jays Fans Should Know & Do Before They Die,100 Things...Fans Should Know,272
"Altro tiro, altro giro, altro regalo",,223
Desi Hoop Dreams,Pickup Basketball and the Making of Asian American Masculinity,288
Yells For Ourselves,An Alternate History of the 1999-2000 New York Mets,34
Chris Paul HoopHandbook Signature Workout Program,,20
Developing a Successful Basketball Program,,357
Yogi,The Life & Times of an American Original,400
Chuck Daly Coaching U,,85
100 Things Cardinals Fans Should Know & Do Before They Die,,256
American dream,,137
Yogi Was Up With a Guy On Third,Hall of Famers Recall Their Favorite Baseball Games Ever,256
CircBall: A Summary of Official Rules and Regulations,,15
100 Things Cubs Fans Should Know & Do Before They Die,,256
Developing the Perfect Jump Shot (Second Edition),,222
You Can Observe a Lot by Watching,What I've Learned About Teamwork from the Yankees and Life,240
CircBall: The Official Rules and Regulations,The Official Rules and Regulations,77
100 Things Dodgers Fans Should Know & Do Before They Die,100 Things...Fans Should Know,320
"Anthony Davis - The Man, the Player, the Unibrow",A Short Biography of the NBA??s Newest Star,30
Dickie V's ABCs and 1-2-3s,A Great Start for Young Superstars,32
You Can't Lose 'Em All,The Year the Phillies Finally Won the World Series,256
"Clarence ""Big House"" Gaines, Sr.",Respectability,32
Dirk Nowitzki Signature Workout Program,,30
You Can't Steal Second Base and Keep Your Foot on First!,,0
Classic Cavs,The 50 Greatest Games in Cleveland Cavaliers History,216
100 Things Indians Fans Should Know & Do Before They Die,100 Things...Fans Should Know,256
Asphalt Gods,An Oral History of the Rucker Tournament,272
Doc,The Rise and Rise of Julius Erving,320
You Gotta Have Heart,A History of Washington Baseball from 1859 to the 2012 National League East Champions,280
Clumsy Janitor Droppin' Mad Buckets,,80
"Don't Put Me In, Coach",My Incredible NCAA Journey from the End of the Bench to the End of the Bench,288
You Know Me Al,A Busher's Letters,208
Coach Quotes for Basketball,,71
100 Things Orioles Fans Should Know & Do Before They Die,100 Things...Fans Should Know,352
Attacking Zone Defenses (Third Edition),,132
"Donald Sterling, Racist Team Owner: 100 Questions & Answers about the Scandal",,32
You Shoot Me Now: Based on the True Story of Walla Tonehka,,172
"Coaching Basketball Successfully, Third Edition",,304
Dr. J,The Autobiography,448
You Stink!,Major League Baseball??s Terrible Teams and Pathetic Players,256
"Coaching Basketball Successfully, Third Edition-Enhanced Edition",,304
100 Things Rangers Fans Should Know & Do Before They Die,,256
Basketball Junkie,A Memoir,250
Dream Again,"A Story of Faith, Courage, and the Tenacity to Overcome",224
You're Wrong and You're Ugly,The Highs and Lows of a Radio Bad Boy,240
Coaching Basketball Technical and Tactical Skills,,272
Dream Team,"How Michael, Magic, Larry, Charles, and the Greatest Team of All Time Conquered the World and Changed the Game of Basketball Forever",400
Your Soul Knows,"Listen, Trust, Act",196
Coaching Basketball's Fast Break Attack,,96
100 Things Rockies Fans Should Know & Do Before They Die,,256
Basketball Mindfulness 101,"Learn to get in the zone, deliver in the clutch, and appreciate every moment on the court",21
Dream Team USA 1992 (Gold),,8
Youth Baseball Drills,,240
Coaching Basketball's Scramble Defense,,140
Drinking and Drafting: Fantasy Basketball Strategery for Each Phase of the Game,,153
Coaching Basketball: 30 Set Plays and Quick Hitters for the 1-4 High Alignment,,38
100 Things Tigers Fans Should Know & Do Before They Die,,208
Basketball Offense: Lessons from the Legends,,310
The Theater of the Impossible,Baseball As a Free Enterprise Pastime and a Protestant Miracle Play,129
Duke - Carolina,The Blue Blood Rivalry: Volume 1,42
Coaching Basketball: 50 Two-Minute Intensity Drills,,92
100 Things Twins Fans Should Know & Do Before They Die,100 Things...Fans Should Know,288
Duke - Carolina - Volume 5  The Blue Blood Rivalry,,32
Coaching Fast Break and Secondary Offense,,114
100 Things White Sox Fans Should Know & Do Before They Die,100 Things...Fans Should Know,304
Basketball Plays Baseline Out of bound,,12
Their Glorious Summer,,30
"Duke - Carolina - Volumes 1-5  The Blue Blood Rivalry, The Master Collection",Including Bonus Blue Blood Photo Gallery,150
Coaching Fast Break Basketball (3rd Edition),,154
100 Things Yankees Fans Should Know & Do Before They Die,,256
Duke - Carolina Volume 2,The Blue Blood Rivalry,20
Coaching from the Heart,,83
100 Years of Who's Who in Baseball,,216
They Called Me God,The Best Umpire Who Ever Lived,288
Where Nobody Knows Your Name,Life In the Minor Leagues of Baseball,384
Duke - Carolina Volume 3,The Blue Blood Rivalry,40
Coaching High School Basketball,A Complete Guide to Building a Championship Team,143
101 Baseball Places to See Before You Strike Out,,256
Duke - Carolina Volume 4,The Blue Blood Rivalry,33
Coaching Match-Up Defense (Second Edition),,93
101 Catching Drills,,222
Basketball Pro: Be the Master of the Court In Less Than 1 Month,,13
Thirty Baseball Parks And Seventy Home Runs,A Baseball and Travel Book,245
Duke Basketball,A Pictorial History,160
Coaching the Continuity Offense: For Men's and Women's Basketball,,120
"Basketball Shooting, Enhanced Edition",,152
Duke Sucks,"A Completely Evenhanded, Unbiased Investigation into the Most Evil Team on Planet Earth",250
Coaching Youth Basketball,Fifth Edition,264
101 Championship Baseball Drills,,120
"Basketball Skills & Drills, Third Edition",,272
This Day in Baseball,A Day-by-Day Record of the Events That Shaped the Game,336
Dunktionary,"""Slam Dunking Your Way To Literacy""",0
Comeback Kids,"The Remarkable Story of the Never-Say-Die Kansas Jayhawks, 2011-2012",98
101 Defensive Baseball Drills,,124
Dwight Howard Signature Workout Program,,30
Comin' Home,,360
101 Leadership Lessons from Baseball??s Greatest Managers,,196
"Basketball Suggestions, Volume II",,39
This Old Man,All in Pieces,0
Dwightmare,"Dwight Howard, the Orlando Magic, and the Season of Dysfunction",100
Complete Guide to Coaching Basketball's Match-Up Zone (2nd Edition),,224
101 Pitching Drills (Second Edition),,170
Dwyane Wade HoopHandbook Signature Workout Program,,20
Continuity Offenses for Men??s and Women??s Basketball (Second Edition),,125
101 Things You May Not Have Known About Baseball,,28
Basketball's Toughest Calls,"Traveling, Block/Charge and Contact/Displacement",96
Three Great Pitchers On the Mound,,99
Cooking with Amar'e,100 Easy Recipes for Pros and Rookies in the Kitchen,304
101 Things You May Not Have Known About the Boston Red Sox,,39
"Basketball, Third Edition",Steps to Success,368
Crazy Basketball,A Life In and Out of Bounds,319
101 Things You May Not Have Known About the US Masters,,39
Basketball: Anspruchsvolle ??bungen f??r ein abwechslungsreiches Training,,140
Three-Finger Zen,A Basketball Revolution,176
Wild and Outside,How a Renegade Minor League Revived the Spirit of Baseball in America's Heartland,288
1302 Winning Quotes for Coaches,,185
Basquete,Treinos para as F??rias,12
Through a Blue Lens,The Brooklyn Dodger Photographs of Barney Stein 1937-1957,176
162-0: Imagine a Cubs Perfect Season,A Game-by-Game Anaylsis of the Greatest Wins in Cubs History,288
Becoming a Zen-Sational Basketball Shooter,,103
Throwback,A Big-League Catcher Tells How the Game Is Really Played,250
Wild Pitch,,65
Solid Fool's Gold,,224
162-0: Imagine a Mets Perfect Season,A Game-by-Game Anaylsis of the Greatest Wins in Mets History,264
Bench Rules,A Guide to Success On and Off the Bench,121
Throwing Bullets,A Tale of Two Pitchers Chasing the Dream,214
162-0: Imagine a Phillies Perfect Season,A Game-by-Game Anaylsis of the Greatest Wins in Phillies History,288
Best Game Ever,How Frank Mcguire's '57 Tar Heels Beat Wilt And Revolutionized College Basketball,256
Tigers and Their Den,The Offical Story of the Detroit Tigers,238
Willie Mays Aikens,Safe at Home,224
Sometimes You See It Coming,,336
162-0: Imagine a Red Sox Perfect Season,The Greatest Wins!,304
Better Basketball Shooting,Improving Free Throws and Midrange Jump Shots,40
Tigers Confidential,The Untold Inside Story of the 2008 Season,256
162-0: Imagine a Twins Perfect Season,The Greatest Wins!,304
Beyond the Rules,"Techniques, Tips and Best Practices for Scholastic / Collegiate Basketball Officiating",200
Tigers Essential,Everything You Need to Know to Be a Real Fan - Everything You Need to Know to Be a Real Fan!,176
"Windy City World Series I: 1906, White Soxcubs","The Year, the Season Enhanced With Period, Original Poetry",492
Sotto il segno del Leone,100 anni fa nasceva Bruno Beneck,154
162-0: Imagine a Yankees Perfect Season,The Greatest Wins!,304
"Big Game, Small World",A Basketball Adventure,448
The Tigers of '68,Baseball's Last Real Champions,240
1921,"The Yankees, the Giants, and the Battle for Baseball Supremacy In New York",537
Big League City,Oklahoma City's Rise to the NBA,224
Tim McCarver's Baseball for Brain Surgeons and Other Fans,Understanding and Interpreting the Game So You Can Watch It Like a Pro,368
Winning in Both Leagues,Reflections from Baseball's Front Office,240
Spalding's Baseball Guide and Official League Book for 1889,,264
1927 New York Yankees,,150
Big Man Drills,Basketball Drills,9
Tim McCarver's Diamond Gems,Favorite Baseball Stories from the Legends of the Game,224
1954,The Year Willie Mays and the First Generation of Black Superstars Changed Major League Baseball Forever,336
BIL Guide,,77
To Stir a Movement,"Life, Justice, and Major League Baseball",192
"Wins, Losses, and Empty Seats",How Baseball Outlasted the Great Depression,445
Spalding's Official Baseball Guide - 1913,,172
1954 -- A Baseball Season,,672
Bill Bradley,Intelligence,32
Tom Poorman Of The Philadelphia Athletics,,14
1967 Red Sox: The Impossible Dream Season,,128
Bird at the Buzzer,"UConn, Notre Dame, and a Women's Basketball Classic",315
Tommy Lasorda,My Way,256
With the Boys,Little League Baseball and Preadolescent Culture,304
Sparky and Me,My Friendship with Sparky Anderson and the Lessons He Shared About Baseball and Life,250
1969 Miracle Mets,The Improbable Story of the World's Greatest Underdog Team,208
Black Fives,"The Alpha Physical Culture Club??s Pioneering African American Basketball Team, 1904 ?? 1923",122
The Tools of Greatness,A Complete Catching Guide Second Edition,166
1970s Baseball:,"A History and Analysis of the Decade's Best Seasons, Teams, and Players",193
Black Men Can't Shoot,,246
Total Fitness for Baseball,,184
Working at the Ballpark,,384
"Spitters, Beanballs, and the Incredible Shrinking Strike Zone",The Stories Behind the Rules of Baseball,216
1975 Red Sox,American League Champions,128
Blake Griffin Signature Workout Program,,35
Total Phillies Trivia,,162
19th Century Baseball in Chicago,,128
Blitz Kids,,184
Touching All the Bases,Baseball in 101 Fascinating Stories,274
World Series Winners,What It Takes to Claim Baseball's Ultimate Prize,288
Split to Splinters,An Eli Sharpe Mystery,309
2012 Baseball Preview,Changing the Way You Look at Baseball,71
Blood Money and Spirit,,112
Trading Bases,How a Wall Street Trader Made a Fortune Betting on Baseball,384
2012 Mets Annual,,191
Blood on the Horns,The Long Strange Ride of Michael Jordan??s Chicago Bulls,510
Trading Manny,How a Father and Son Learned to Love Baseball Again,272
Wrigley Field,100 Stories for 100 Years,224
Sport in America: Builder of Character or ??Characters???,,176
2013 Baseball Forecaster,And Encyclopedia of Fanalytics,304
Blue Streak,"The Highs, Lows and Behind the Scenes Hijinks of a National Champion",412
Transpacific Field of Dreams,How Baseball Linked the United States and Japan in Peace and War,344
2013 Professional Baseball Umpire Corp. Umpire Manual,,224
Bobby Cremins' Ultimate Offense: Winning Basketball Strategies and Plays from an NCAA Coach's Personal Playbook,,240
Triple Crowned,The San Francisco Giants'; Incredible 2014 Championship Season,128
Wrigley Field: The Centennial,100 Years at the Friendly Confines,192
Sports Illustrated Great Baseball Writing,,560
2014 Baseball Forecaster,And Encyclopedia of Fanalytics,304
Book Title,,15
Triumph and Tragedy in Mudville: A Lifelong Passion for Baseball,,368
2014 NFHS Baseball Casebook,,207
"Boom, Baby!",My Basketball Life in Indiana,288
Truth About Ruth and More??,"Yankees Myths, Legends, and Lore",256
Wrigleyville,,253
Spring Training in Bradenton and Sarasota,,128
2014 NFHS Baseball Rules Book,,133
Boston Celtics IQ: The Ultimate Test of True Fandom,The Ultimate Test of True Fandom,78
Tucker Elliot Bundle #1: Atlanta Braves Baseball,,300
2014 Professional Baseball Umpire Corp. Umpire Manual,,155
Boston Celtics IQ: The Ultimate Test of True Fandom (Volume II),The Ultimate Test of True Fandom,63
Tucker Elliot Bundle #2: Cincinnati Reds and Cleveland Indians Baseball,,264
St. Louis Cardinals IQ: The Ultimate Test of True Fandom,The Ultimate Test of True Fandom,49
Wrigleyworld,A Season In Baseball's Best Neighborhood,304
2015 Baseball Case Book,NFHS,207
Bradley Beal Signature Workout Program,,30
Turner Field,Rarest of Diamonds,148
2015 Baseball Forecaster,& Encyclopedia of Fanalytics,304
Brave Dragons,"A Chinese Basketball Team, an American Coach, and Two Cultures Clashing",336
Turning the Black Sox White,The Misunderstood Legacy of Charles A. Comiskey,400
St. Louis Cardinals Past & Present,,144
St. Louis Cardinals IQ: The Ultimate Test of True Fandom (Volume II),The Ultimate Test of True Fandom,49
2015 Baseball Rules Book,,136
BraveHearts,The Against-All-Odds Rise of Gonzaga Basketball,224
Turning Two,My Journey to the Top of the World and Back with the New York Mets,288
2015 Minor League Baseball Analyst,,144
Breaking Cardinal Rules,Basketball and the Escort Queen,150
Turpin Times: An Illini Sports Scrapbook,,999
Stan the Man,The Life and Times of Stan Musial,256
Stan Musial,An American Life,416
27,The Voice of the Yankee Fans,109
Brooklyn Bounce,The Highs and Lows of Nets Basketball??s Historic First Season in the Borough,256
Twins Pride,"For the Love of Kirby, Kent, and Killebrew",256
30 Tickets To Paradise,A Young Man's Life-Changing Journey To Every Ballpark In Baseball,234
Bruin 100,The Greatest Games in the History of UCLA Basketball,192
Two in the Field,,408
Starting and Closing,"Perseverance, Faith, and One More Year",304
Stars and Strikes,Baseball and America in the Bicentennial Summer of ??76,250
365 Oddball Days in St. Louis Cardinals History,,384
Building a Better Basketball Program,,132
